Rk,School,Total Games,Total Wins,Total Losses,Total W-L%,SOS,Conference W,Conference L,Team Points,Opp. Points,FGM,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,Turnovers,PF
20,Austin Peay,30,8,22,0.267,-2.81,3,13,1937,2178,663,1667,0.398,155,513,0.302,456,685,0.666,373,1043,360,191,124,428,514
21,Ball State,30,7,23,0.233,0.04,2,16,1961,2070,669,1580,0.423,234,684,0.342,389,561,0.693,303,980,383,159,71,424,576
22,Baylor NCAA,34,24,10,0.706,9.33,11,7,2349,2048,813,1874,0.434,236,626,0.377,487,723,0.674,497,1333,497,263,132,434,565
23,Belmont NCAA,33,22,11,0.667,-2.77,11,5,2450,2330,858,1803,0.476,329,866,0.38,405,585,0.692,307,1093,504,209,66,451,549
24,Bethune-Cookman,32,11,21,0.344,-10.45,7,9,1899,2003,627,1567,0.4,163,542,0.301,482,672,0.717,372,1056,264,174,84,449,623
25,Binghamton,32,6,26,0.188,-3.49,5,11,1845,2124,633,1598,0.396,171,554,0.309,408,618,0.66,288,992,278,186,80,433,577
26,Boise State NCAA,34,25,9,0.735,1.38,14,4,2390,2045,831,1823,0.456,297,758,0.392,431,591,0.729,298,1119,409,206,79,348,582
27,Boston College,32,13,19,0.406,7.94,4,14,2105,2157,743,1668,0.445,207,638,0.324,412,584,0.705,263,983,421,183,86,389,607
28,Boston University,30,13,17,0.433,-3.12,9,9,2037,2087,668,1498,0.446,232,631,0.368,469,674,0.696,263,953,368,170,56,369,522
29,Bowling Green State,33,21,12,0.636,-1.25,11,7,2196,2076,778,1806,0.431,218,647,0.337,420,588,0.714,355,1156,406,219,123,386,550
30,Bradley,33,9,24,0.273,1.52,3,15,1882,2026,639,1700,0.376,179,594,0.301,425,641,0.663,377,1098,308,227,93,418,645
31,Brigham Young NCAA,35,25,10,0.714,5.02,13,5,2931,2561,976,2090,0.467,300,763,0.393,679,886,0.766,421,1349,594,257,103,417,721
32,Brown,31,13,18,0.419,-1.99,4,10,2048,2144,686,1623,0.423,175,549,0.319,501,727,0.689,324,1129,369,139,138,460,591
33,Bryant,31,16,15,0.516,-4.93,12,6,2058,2100,709,1683,0.421,226,653,0.346,414,552,0.75,306,1029,381,157,77,366,560
34,Bucknell,34,19,15,0.559,-2.75,13,5,2339,2346,800,1828,0.438,233,605,0.385,506,726,0.697,340,1145,446,139,95,377,631
35,Buffalo NCAA,33,23,10,0.697,1.6,12,6,2462,2253,837,1922,0.435,199,583,0.341,589,819,0.719,420,1260,433,248,132,378,613
36,Butler NCAA,34,23,11,0.676,8.62,12,6,2346,2073,814,1882,0.433,192,540,0.356,526,767,0.686,408,1239,387,217,103,376,592
37,Cal Poly,29,13,16,0.448,0.43,6,10,1752,1721,620,1589,0.39,166,533,0.311,346,506,0.684,342,1002,295,158,87,255,465
38,Cal State Bakersfield,33,14,19,0.424,-5.8,7,7,2100,2028,715,1703,0.42,186,554,0.336,484,669,0.723,368,1143,427,190,59,409,673
39,Cal State Fullerton,31,9,22,0.29,-1.06,1,15,1991,2155,698,1695,0.412,167,523,0.319,428,623,0.687,323,1088,305,156,62,391,566
40,Cal State Northridge,33,9,24,0.273,0.39,4,12,2148,2325,740,1742,0.425,110,337,0.326,558,729,0.765,325,1133,443,180,125,435,597
41,UC-Davis,32,25,7,0.781,-2.58,14,2,2263,2068,775,1583,0.49,274,613,0.447,439,598,0.734,255,995,425,165,63,427,563
42,UC-Irvine NCAA,34,21,13,0.618,0.45,11,5,2295,2113,854,1851,0.461,217,558,0.389,370,541,0.684,329,1198,480,194,168,396,578
43,UC-Riverside,31,14,17,0.452,-1.16,7,9,2025,2050,707,1691,0.418,207,603,0.343,404,592,0.682,337,1080,399,208,111,413,626
44,UC-Santa Barbara,33,19,14,0.576,0.98,11,5,2258,2112,806,1836,0.439,225,602,0.374,421,572,0.736,352,1134,503,171,118,360,619
45,University of California,33,18,15,0.545,6.15,7,11,2195,2221,821,1868,0.44,185,515,0.359,368,567,0.649,299,1170,412,137,127,365,627
46,Campbell,32,10,22,0.313,-5.3,4,14,2045,2124,705,1654,0.426,262,736,0.356,373,597,0.625,305,988,419,226,92,403,576
47,Canisius,33,18,15,0.545,-2.79,11,9,2168,2077,762,1864,0.409,215,677,0.318,429,596,0.72,401,1157,465,223,108,393,608
48,Central Arkansas,29,2,27,0.069,-5.94,2,16,1894,2384,646,1524,0.424,196,556,0.353,406,599,0.678,273,903,361,182,114,529,604
49,Central Connecticut State,31,5,26,0.161,-5.62,3,15,1834,2173,674,1675,0.402,146,454,0.322,340,479,0.71,332,1046,340,153,109,425,429
50,Central Florida,30,12,18,0.4,0.78,5,13,1981,2153,704,1621,0.434,202,577,0.35,371,577,0.643,313,997,369,155,128,390,470
51,Central Michigan,32,23,9,0.719,-1.1,12,6,2504,2187,848,1816,0.467,322,864,0.373,486,670,0.725,327,1080,447,226,84,325,562
52,Charleston Southern,31,19,12,0.613,-5.23,13,5,2277,2130,777,1846,0.421,288,845,0.341,435,633,0.687,403,1171,397,214,69,354,540
53,Charlotte,32,14,18,0.438,0.35,7,11,2362,2317,858,1853,0.463,201,533,0.377,445,685,0.65,382,1166,437,207,80,435,558
54,Chattanooga,32,22,10,0.688,-4.06,15,3,2325,2141,793,1754,0.452,217,621,0.349,522,762,0.685,371,1118,384,210,203,418,620
55,Chicago State,32,8,24,0.25,-2.48,4,10,1855,2115,659,1747,0.377,194,644,0.301,343,514,0.667,391,1050,295,268,93,471,680
56,Cincinnati NCAA,34,23,11,0.676,4.4,13,5,2113,1898,761,1705,0.446,167,507,0.329,424,633,0.67,383,1178,394,222,185,432,507
57,Citadel,30,11,19,0.367,-4.68,6,12,1919,2058,647,1436,0.451,206,515,0.4,419,546,0.767,271,874,394,141,66,392,449
58,Clemson,31,16,15,0.516,7.18,8,10,1944,1927,689,1685,0.409,171,572,0.299,395,579,0.682,369,1122,330,168,148,365,502
59,Cleveland State,34,19,15,0.559,-0.78,11,5,2296,2098,794,1760,0.451,238,629,0.378,382,557,0.686,353,1072,441,250,109,408,636
60,Coastal Carolina NCAA,34,24,10,0.706,-6.18,12,6,2438,2121,836,1899,0.44,228,633,0.36,538,780,0.69,447,1338,385,240,111,399,559
61,Colgate,33,16,17,0.485,-3.41,12,6,2177,2125,804,1661,0.484,253,649,0.39,316,453,0.698,229,994,446,170,89,379,557
62,College of Charleston,33,9,24,0.273,-1.26,3,15,1934,2131,686,1708,0.402,197,575,0.343,365,553,0.66,314,1064,317,182,96,397,679
63,Colorado State,34,27,7,0.794,0.69,13,5,2454,2181,837,1901,0.44,245,699,0.351,535,794,0.674,411,1287,499,190,116,361,573
64,Colorado,34,16,18,0.471,6.19,7,11,2345,2317,812,1861,0.436,179,535,0.335,542,760,0.713,400,1269,400,194,133,450,614
65,Columbia,28,13,15,0.464,-1.49,5,9,1816,1737,637,1453,0.438,244,670,0.364,298,416,0.716,287,916,333,137,100,328,502
66,Connecticut,35,20,15,0.571,4.22,10,8,2243,2101,800,1824,0.439,226,637,0.355,417,590,0.707,331,1178,416,166,183,404,573
67,Coppin State,31,8,23,0.258,-4.78,6,10,2219,2558,758,1906,0.398,295,826,0.357,408,590,0.692,319,994,390,207,99,418,632
68,Cornell,30,13,17,0.433,-1.92,5,9,1868,1838,615,1558,0.395,181,579,0.313,457,610,0.749,248,981,312,187,142,359,569
69,Creighton,33,14,19,0.424,7.05,4,14,2221,2207,746,1776,0.42,262,759,0.345,467,644,0.725,348,1139,449,147,77,391,591
70,Dartmouth,29,14,15,0.483,-3.32,7,7,1835,1829,657,1510,0.435,173,500,0.346,348,539,0.646,298,949,357,222,101,373,557
71,Davidson NCAA,32,24,8,0.75,3.19,14,4,2529,2221,898,1924,0.467,343,877,0.391,390,553,0.705,335,1144,547,171,93,303,601
72,Dayton NCAA,36,27,9,0.75,4.06,13,5,2439,2190,810,1755,0.462,239,670,0.357,580,846,0.686,255,1121,490,250,91,415,573
73,Delaware State,36,18,18,0.5,-6.75,9,7,2533,2607,888,2121,0.419,282,798,0.353,475,672,0.707,424,1375,430,179,141,484,614
74,Delaware,30,10,20,0.333,-1.69,9,9,1979,2161,675,1646,0.41,199,576,0.345,430,627,0.686,314,1061,376,128,108,367,522
75,Denver,30,12,18,0.4,-3.13,6,10,1865,1890,657,1369,0.48,224,589,0.38,327,427,0.766,148,717,457,179,55,338,611
76,DePaul,32,12,20,0.375,7.49,6,12,2220,2354,757,1739,0.435,248,705,0.352,458,635,0.721,292,969,395,212,122,428,679
77,Detroit Mercy,33,15,18,0.455,0.13,7,9,2334,2335,840,1889,0.445,231,602,0.384,423,619,0.683,343,1109,444,254,112,436,687
78,Drake,31,9,22,0.29,2.22,6,12,1844,2070,637,1396,0.456,200,490,0.408,370,482,0.768,192,810,370,138,60,409,485
79,Drexel,30,11,19,0.367,-0.85,9,9,1787,1930,614,1569,0.391,176,540,0.326,383,514,0.745,287,948,317,155,110,313,523
80,Duke NCAA,39,35,4,0.897,9.87,15,3,3091,2502,1099,2191,0.502,283,732,0.387,610,873,0.699,445,1436,588,278,149,421,607
81,Duquesne,31,12,19,0.387,1.41,6,12,2213,2303,803,1788,0.449,245,663,0.37,362,577,0.627,353,1124,466,159,104,381,558
82,East Carolina,33,14,19,0.424,1,6,12,2116,2176,750,1777,0.422,233,663,0.351,383,563,0.68,333,1048,443,208,64,379,571
83,East Tennessee State,30,16,14,0.533,-4.01,8,10,2201,2140,722,1712,0.422,280,764,0.366,477,661,0.722,331,1052,382,235,83,381,611
84,Eastern Illinois,33,18,15,0.545,-2.42,9,7,2097,2136,746,1696,0.44,241,643,0.375,364,558,0.652,255,1003,435,186,141,396,535
85,Eastern Kentucky,33,21,12,0.636,-4.16,11,5,2373,2100,818,1763,0.464,299,837,0.357,438,562,0.779,225,876,495,321,98,374,556
86,Eastern Michigan,35,21,14,0.6,-0.14,8,10,2429,2230,806,1963,0.411,230,742,0.31,587,817,0.718,403,1271,371,305,157,411,659
87,Eastern Washington NCAA,35,26,9,0.743,-3.84,14,4,2820,2588,977,2045,0.478,344,860,0.4,522,719,0.726,351,1183,454,219,167,376,624
88,Elon,33,15,18,0.455,-2.69,6,12,2329,2329,807,1906,0.423,240,684,0.351,475,695,0.683,355,1151,394,213,45,440,691
89,Evansville,36,24,12,0.667,-0.07,9,9,2552,2361,899,1854,0.485,153,431,0.355,601,803,0.748,284,1168,574,210,129,455,619
90,Fairfield,31,7,24,0.226,-2.31,5,15,1845,2041,614,1578,0.389,198,614,0.322,419,585,0.716,286,979,324,154,109,396,592
91,Fairleigh Dickinson,29,8,21,0.276,-4.54,3,15,1956,2130,681,1658,0.411,208,628,0.331,386,557,0.693,300,869,325,252,94,372,648
92,Florida A&M,29,2,27,0.069,-8.52,2,14,1607,2115,560,1500,0.373,119,421,0.283,368,567,0.649,281,914,241,143,62,415,518
93,Florida Atlantic,29,9,20,0.31,-2.06,2,16,1815,1934,651,1562,0.417,212,610,0.348,301,447,0.673,265,904,297,126,99,367,522
94,Florida Gulf Coast,33,22,11,0.667,-4.98,11,3,2224,2085,814,1883,0.432,197,585,0.337,399,603,0.662,404,1257,467,185,127,386,559
95,Florida International,33,16,17,0.485,-3.23,8,10,2060,2153,749,1694,0.442,151,487,0.31,411,647,0.635,313,1129,374,224,150,493,613
96,Florida State,33,17,16,0.515,7.02,8,10,2199,2210,763,1669,0.457,147,470,0.313,524,783,0.669,328,1109,380,181,157,478,612
97,Florida,33,16,17,0.485,9.67,8,10,2101,1982,766,1763,0.434,218,674,0.323,351,553,0.635,348,1095,431,228,118,409,558
98,Fordham,31,10,21,0.323,2.72,4,14,2015,2144,711,1713,0.415,187,613,0.305,406,559,0.726,373,1117,390,209,119,452,582
99,Fresno State,32,15,17,0.469,1.3,10,8,2086,2123,725,1692,0.428,179,559,0.32,457,662,0.69,286,1010,336,250,114,358,644
100,Furman,33,11,22,0.333,-3.46,5,13,2098,2245,701,1636,0.428,216,658,0.328,480,717,0.669,316,1068,342,183,94,438,582
101,Gardner-Webb,35,20,15,0.571,-3.11,10,8,2619,2595,909,2028,0.448,288,823,0.35,513,767,0.669,387,1226,565,233,83,430,569
102,George Mason,31,9,22,0.29,4.6,4,14,1996,2147,708,1663,0.426,130,406,0.32,450,676,0.666,391,1113,315,187,120,445,638
103,George Washington,35,22,13,0.629,2.79,10,8,2354,2169,827,1887,0.438,192,545,0.352,508,754,0.674,422,1278,408,197,136,420,560
104,Georgetown NCAA,33,22,11,0.667,9.81,12,6,2340,2153,799,1753,0.456,201,569,0.353,541,769,0.704,367,1152,427,251,156,415,668
105,Georgia Southern,31,22,9,0.71,-4.72,14,6,2112,1865,733,1765,0.415,234,740,0.316,412,616,0.669,391,1160,361,226,99,365,522
106,Georgia State NCAA,35,25,10,0.714,-2.03,15,5,2499,2184,902,1878,0.48,174,522,0.333,521,719,0.725,322,1116,479,321,143,366,642
107,Georgia Tech,31,12,19,0.387,8.45,3,15,1962,2002,734,1800,0.408,131,491,0.267,363,560,0.648,444,1187,362,177,104,394,516
108,Georgia NCAA,33,21,12,0.636,8.6,11,7,2250,2124,747,1730,0.432,184,538,0.342,572,826,0.692,360,1260,411,183,151,420,608
109,Gonzaga NCAA,38,35,3,0.921,5.12,17,1,2989,2343,1084,2083,0.52,264,660,0.4,557,806,0.691,391,1441,620,226,126,397,637
110,Grambling,29,2,27,0.069,-8,0,18,1509,2105,512,1417,0.361,105,366,0.287,380,584,0.651,294,928,225,154,52,486,551
111,Grand Canyon,32,17,15,0.531,-5.45,8,6,2198,2188,759,1683,0.451,198,594,0.333,482,674,0.715,281,1016,388,171,99,358,627
112,Green Bay,33,24,9,0.727,-0.4,12,4,2252,2006,829,1808,0.459,141,480,0.294,453,705,0.643,369,1178,464,245,161,391,610
113,Hampton NCAA,35,17,18,0.486,-7.08,8,8,2346,2387,796,1959,0.406,194,638,0.304,560,859,0.652,416,1292,372,235,141,494,752
114,Hartford,30,14,16,0.467,-5.16,7,9,1858,1924,645,1596,0.404,235,722,0.325,333,477,0.698,264,936,362,187,48,364,555
115,Harvard NCAA,30,22,8,0.733,-0.25,12,3,1926,1727,671,1548,0.433,146,412,0.354,438,609,0.719,316,1025,384,213,135,349,472
116,Hawaii,35,22,13,0.629,-0.83,8,8,2551,2387,901,2056,0.438,226,702,0.322,523,762,0.686,421,1231,465,337,139,467,712
117,High Point,33,23,10,0.697,-4.61,13,5,2407,2231,862,1816,0.475,206,535,0.385,477,649,0.735,323,1086,487,206,94,376,515
118,Hofstra,34,20,14,0.588,-4.46,10,8,2668,2388,902,2013,0.448,303,837,0.362,561,801,0.7,402,1240,525,254,90,379,650
119,Holy Cross,30,14,16,0.467,-3.82,8,10,1981,2020,692,1643,0.421,189,557,0.339,406,568,0.715,305,930,334,228,143,328,582
120,Houston Baptist,28,12,16,0.429,-5.63,7,11,2028,2063,728,1596,0.456,129,399,0.323,443,611,0.725,366,1061,348,166,115,429,585
121,Houston,32,13,19,0.406,-0.91,4,14,2060,2097,705,1795,0.393,259,809,0.32,391,575,0.68,403,1129,376,184,121,425,565
122,Howard,32,16,16,0.5,-7.86,10,6,2032,2004,695,1621,0.429,149,501,0.297,493,705,0.699,353,1110,270,242,130,517,596
123,Idaho State,30,7,23,0.233,-5.45,4,14,1937,2075,699,1588,0.44,148,420,0.352,391,601,0.651,302,972,337,207,77,355,526
124,Idaho,30,13,17,0.433,-4.79,8,10,2301,2269,805,1726,0.466,236,572,0.413,455,642,0.709,312,1086,405,140,57,360,634
125,Illinois-Chicago,34,10,24,0.294,-0.36,4,12,2201,2389,724,1870,0.387,204,629,0.324,549,745,0.737,391,1142,413,205,92,375,609
126,Illinois State,35,22,13,0.629,2.87,11,7,2385,2170,846,1945,0.435,212,615,0.345,481,674,0.714,439,1256,408,254,152,449,662
127,Illinois,33,19,14,0.576,6.93,9,9,2281,2100,786,1903,0.413,238,670,0.355,471,593,0.794,351,1134,389,208,105,328,577
128,Incarnate Word,29,18,11,0.621,-6.47,10,8,2298,2180,773,1647,0.469,204,550,0.371,548,747,0.734,267,969,382,229,128,329,538
129,Indiana State,31,15,16,0.484,1.21,11,7,2060,2101,681,1601,0.425,225,631,0.357,473,674,0.702,271,1008,398,175,98,437,562
130,Indiana NCAA,34,20,14,0.588,7.2,9,9,2633,2438,923,1989,0.464,319,786,0.406,468,651,0.719,407,1224,473,170,108,392,606
131,Iona,35,26,9,0.743,-2.52,17,3,2782,2564,950,2051,0.463,344,869,0.396,538,768,0.701,348,1260,573,226,135,427,605
132,Iowa State NCAA,34,25,9,0.735,9.15,12,6,2645,2346,940,1973,0.476,263,726,0.362,502,721,0.696,323,1221,546,218,133,375,527
133,Iowa NCAA,34,22,12,0.647,8.39,12,6,2372,2119,821,1905,0.431,192,576,0.333,538,723,0.744,422,1274,482,218,158,377,536
134,Fort Wayne,31,16,15,0.516,-3.41,9,7,2171,2081,754,1603,0.47,221,619,0.357,442,645,0.685,242,1001,444,178,92,365,502
135,IUPUI,31,10,21,0.323,-1.93,6,10,1883,2080,692,1623,0.426,126,426,0.296,373,532,0.701,318,1009,348,218,65,482,635
136,Jackson State,32,11,21,0.344,-9.52,9,9,1941,2032,701,1812,0.387,153,558,0.274,386,597,0.647,460,1188,324,203,81,459,695
137,Jacksonville State,31,12,19,0.387,-4.52,5,11,1939,2126,647,1698,0.381,179,598,0.299,466,651,0.716,346,1043,371,191,129,377,606
138,Jacksonville,32,10,22,0.313,-6.46,4,10,2058,2303,701,1710,0.41,203,566,0.359,453,685,0.661,317,1008,341,207,79,394,578
139,James Madison,33,19,14,0.576,-1.53,12,6,2217,2254,748,1660,0.451,228,613,0.372,493,700,0.704,299,1067,419,212,78,431,531
140,Kansas State,32,15,17,0.469,9.29,8,10,2016,2042,690,1593,0.433,141,421,0.335,495,732,0.676,338,1015,417,195,74,424,639
141,Kansas NCAA,36,27,9,0.75,12.13,13,5,2561,2333,869,1976,0.44,213,562,0.379,610,842,0.724,426,1364,475,237,175,463,639
142,Kennesaw State,32,10,22,0.313,-5.1,4,10,2027,2363,717,1775,0.404,214,661,0.324,379,518,0.732,343,1094,331,173,110,455,567
143,Kent State,35,23,12,0.657,-0.94,12,6,2313,2202,797,1868,0.427,250,693,0.361,469,713,0.658,405,1222,368,177,133,393,645
144,Kentucky NCAA,39,38,1,0.974,8.67,18,0,2900,2118,1006,2150,0.468,203,582,0.349,685,943,0.726,491,1482,553,253,268,408,665
145,La Salle,33,17,16,0.515,3.91,8,10,2086,2055,738,1757,0.42,166,517,0.321,444,640,0.694,332,1126,398,211,120,429,582
146,Lafayette NCAA,33,20,13,0.606,-3.12,9,9,2426,2409,872,1799,0.485,261,640,0.408,421,549,0.767,282,1017,514,181,83,366,515
147,Lamar,30,15,15,0.5,-5.29,9,9,2146,2132,750,1658,0.452,169,532,0.318,477,701,0.68,376,1063,392,224,115,465,623
148,Lehigh,30,16,14,0.533,-3.55,10,8,2042,2000,724,1640,0.441,164,475,0.345,430,593,0.725,294,1085,429,168,97,393,531
149,Liberty,32,8,24,0.25,-6.44,2,16,2045,2222,717,1658,0.432,154,472,0.326,457,650,0.703,341,1132,358,175,86,522,602
