Rk,School,Total Games,Total Wins,Total Losses,Total W-L%,SOS,Conference W,Conference L,Team Points,Opp. Points,FGM,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,Turnovers,PF
185,Missouri-Kansas City,33,14,19,0.424,-5.07,8,6,2164,2202,723,1776,0.407,216,649,0.333,502,724,0.693,374,1037,376,266,111,443,636
186,Missouri State,31,11,20,0.355,1.67,5,13,1850,1989,654,1612,0.406,158,512,0.309,384,525,0.731,316,1008,347,160,100,377,550
187,Missouri,32,9,23,0.281,9.26,3,15,1935,2173,683,1694,0.403,196,596,0.329,373,560,0.666,327,1050,343,179,90,417,624
188,Monmouth,33,18,15,0.545,-2.91,13,7,2134,2110,730,1702,0.429,171,506,0.338,503,697,0.722,320,1080,372,231,127,426,622
189,Montana State,30,7,23,0.233,-3.5,4,14,1917,2152,662,1665,0.398,246,687,0.358,347,482,0.72,317,1009,349,132,91,411,624
190,Montana,33,20,13,0.606,-3.78,14,4,2347,2219,828,1786,0.464,274,737,0.372,417,581,0.718,295,1055,466,218,84,391,634
191,Morehead State,34,17,17,0.5,-3.31,10,6,2420,2255,854,1930,0.442,220,639,0.344,490,684,0.716,422,1205,495,278,110,462,782
192,Morgan State,31,7,24,0.226,-6.48,5,11,1898,2199,673,1877,0.359,163,574,0.284,389,622,0.625,468,1098,313,175,89,332,580
193,Mount St. Mary's,30,15,15,0.5,-4.4,11,7,1893,1945,662,1645,0.402,228,691,0.33,341,500,0.682,325,979,342,202,112,367,549
194,Murray State,35,29,6,0.829,-2.81,16,0,2764,2367,961,1995,0.482,263,679,0.387,579,831,0.697,422,1292,543,253,113,411,649
195,Navy,32,13,19,0.406,-3.61,8,10,1952,2059,719,1637,0.439,170,518,0.328,344,513,0.671,301,982,423,188,107,391,554
196,Omaha,29,12,17,0.414,-5.14,5,11,2226,2256,767,1724,0.445,179,539,0.332,513,737,0.696,321,1009,350,237,92,391,590
197,Nebraska,31,13,18,0.419,7.58,5,13,1905,1957,664,1613,0.412,161,566,0.284,416,588,0.707,277,1022,315,192,90,389,581
198,Nevada-Las Vegas,33,18,15,0.545,3.38,8,10,2250,2125,808,1816,0.445,236,639,0.369,398,600,0.663,301,1170,453,183,223,376,545
199,Nevada,31,9,22,0.29,1.08,5,13,1874,2061,637,1673,0.381,111,417,0.266,489,703,0.696,457,1221,298,169,129,436,603
200,New Hampshire,32,19,13,0.594,-6.29,11,5,2148,1973,747,1712,0.436,231,617,0.374,423,627,0.675,302,1174,366,167,69,394,607
201,New Mexico State NCAA,34,23,11,0.676,-3.67,13,1,2316,2033,808,1748,0.462,165,450,0.367,535,771,0.694,428,1199,406,219,124,470,541
202,New Mexico,31,15,16,0.484,1.03,7,11,1921,1866,686,1588,0.432,148,480,0.308,401,609,0.658,331,1081,398,178,139,392,538
203,New Orleans,29,11,18,0.379,-6.36,6,12,2062,2133,704,1604,0.439,123,366,0.336,531,770,0.69,365,1014,279,216,101,452,608
204,Niagara,30,8,22,0.267,-1.8,7,13,1930,2154,642,1608,0.399,184,524,0.351,460,662,0.695,343,1016,338,172,69,408,559
205,Nicholls State,29,10,19,0.345,-5.3,7,11,1885,2117,662,1511,0.438,155,496,0.313,404,645,0.626,314,981,367,201,120,492,635
206,NJIT,33,21,12,0.636,-4.07,0,0,2368,2229,808,1768,0.457,279,742,0.376,473,680,0.696,319,1110,492,232,149,450,646
207,Norfolk State,34,20,14,0.588,-6.35,12,4,2385,2254,850,1801,0.472,190,549,0.346,495,751,0.659,370,1224,459,173,167,460,668
208,North Carolina-Asheville,31,15,16,0.484,-5.65,10,8,2242,2183,780,1774,0.44,233,652,0.357,449,619,0.725,352,1120,423,228,144,437,594
209,North Carolina A&T,32,9,23,0.281,-8.02,6,10,1884,2112,648,1622,0.4,157,555,0.283,431,633,0.681,366,1066,297,170,127,483,594
210,North Carolina Central,33,25,8,0.758,-8.67,16,0,2278,1821,813,1668,0.487,219,593,0.369,433,632,0.685,312,1121,461,219,134,414,636
211,North Carolina-Greensboro,33,11,22,0.333,-4.36,6,12,2290,2337,838,1895,0.442,216,598,0.361,398,613,0.649,364,1138,400,206,109,414,711
212,North Carolina State NCAA,36,22,14,0.611,9.72,10,8,2525,2367,895,2054,0.436,236,661,0.357,499,727,0.686,435,1369,415,138,184,375,637
213,North Carolina-Wilmington,32,18,14,0.563,-1.92,12,6,2239,2200,810,1834,0.442,162,465,0.348,457,677,0.675,359,1131,368,244,140,395,661
214,North Carolina NCAA,38,26,12,0.684,11.76,11,7,2953,2616,1099,2309,0.476,184,514,0.358,571,814,0.701,526,1541,661,251,160,481,738
215,North Dakota State NCAA,33,23,10,0.697,-3.63,12,4,2141,2057,743,1713,0.434,230,600,0.383,425,614,0.692,274,1098,315,156,123,325,504
216,North Dakota,30,8,22,0.267,-3.73,4,14,2032,2201,713,1637,0.436,180,543,0.331,426,628,0.678,260,961,353,189,94,373,640
217,North Florida NCAA,35,23,12,0.657,-5.94,12,2,2651,2385,897,1910,0.47,317,810,0.391,540,747,0.723,339,1219,506,214,146,436,568
218,North Texas,31,14,17,0.452,-0.71,8,10,2025,2113,726,1678,0.433,147,489,0.301,426,677,0.629,338,1094,310,209,103,420,548
219,Northeastern NCAA,35,23,12,0.657,-1.34,12,6,2397,2279,838,1725,0.486,203,526,0.386,518,713,0.727,297,1160,500,183,129,483,496
220,Northern Arizona,38,23,15,0.605,-4.13,13,5,2606,2556,878,2175,0.404,255,734,0.347,595,793,0.75,501,1463,463,182,153,447,709
221,Northern Colorado,30,15,15,0.5,-6.21,10,8,2242,2203,804,1691,0.475,204,535,0.381,430,602,0.714,339,978,370,196,59,313,594
222,Northern Illinois,30,14,16,0.467,-0.14,8,10,1971,1989,661,1543,0.428,149,470,0.317,500,735,0.68,373,1039,294,226,73,426,573
223,Northern Iowa NCAA,35,31,4,0.886,2,16,2,2281,1912,776,1618,0.48,257,645,0.398,472,644,0.733,255,1071,413,207,84,363,508
224,Northern Kentucky,30,13,17,0.433,-4.49,7,7,2117,2079,779,1693,0.46,226,648,0.349,333,507,0.657,299,1014,379,173,85,348,612
225,Northwestern State,32,19,13,0.594,-4.52,13,5,2687,2656,946,2052,0.461,264,740,0.357,531,709,0.749,372,1106,509,242,144,392,596
226,Northwestern,32,15,17,0.469,7.2,6,12,2031,2066,727,1669,0.436,228,635,0.359,349,477,0.732,277,1052,460,118,126,357,573
227,Notre Dame NCAA,38,32,6,0.842,7.02,14,4,2963,2499,1050,2061,0.509,302,775,0.39,561,756,0.742,313,1231,576,256,138,357,540
228,Oakland,33,16,17,0.485,1.27,11,5,2450,2482,857,1854,0.462,259,716,0.362,477,695,0.686,340,1109,517,196,55,416,572
229,Ohio State NCAA,35,24,11,0.686,7.37,11,7,2635,2204,964,1995,0.483,236,637,0.37,471,693,0.68,387,1241,534,266,178,396,563
230,Ohio,30,10,20,0.333,0.45,5,13,2028,2166,727,1678,0.433,217,637,0.341,357,486,0.735,268,1023,341,154,128,382,512
231,Oklahoma State NCAA,32,18,14,0.563,9.63,8,10,2160,2011,733,1667,0.44,226,647,0.349,468,645,0.726,287,1039,366,253,156,392,614
232,Oklahoma NCAA,35,24,11,0.686,9.94,12,6,2501,2196,885,2035,0.435,236,688,0.343,495,668,0.741,389,1332,430,237,174,419,570
233,Old Dominion,35,27,8,0.771,-0.15,13,5,2273,1999,836,1935,0.432,207,636,0.325,394,592,0.666,438,1267,472,221,115,377,618
234,Oral Roberts,34,19,15,0.559,-1.99,10,6,2377,2343,798,1859,0.429,205,575,0.357,576,801,0.719,363,1157,376,197,131,396,632
235,Oregon State,31,17,14,0.548,4.97,8,10,1887,1834,665,1577,0.422,160,495,0.323,397,573,0.693,293,973,373,241,123,365,590
236,Oregon NCAA,36,26,10,0.722,7.65,13,5,2713,2550,992,2143,0.463,263,726,0.362,466,613,0.76,372,1298,508,207,157,421,655
237,Pacific,31,12,19,0.387,3.31,4,14,1996,2115,681,1633,0.417,202,584,0.346,432,667,0.648,385,1076,363,125,74,391,667
238,Penn State,34,18,16,0.529,7.1,4,14,2273,2250,795,1893,0.42,227,679,0.334,456,656,0.695,354,1201,336,206,138,414,692
239,Pennsylvania,28,9,19,0.321,-1.36,4,10,1687,1882,599,1379,0.434,155,448,0.346,334,495,0.675,258,886,329,153,67,419,557
240,Pepperdine,32,18,14,0.563,2.8,10,8,2020,1972,704,1666,0.423,145,463,0.313,467,630,0.741,300,1062,425,200,108,395,562
241,Pittsburgh,34,19,15,0.559,7.36,8,10,2279,2230,835,1866,0.447,164,484,0.339,445,650,0.685,407,1136,561,168,95,336,606
242,Portland State,29,15,14,0.517,-4.86,9,9,2083,2098,723,1645,0.44,193,507,0.381,444,598,0.742,283,942,381,183,117,324,511
243,Portland,33,17,16,0.515,2.67,7,11,2315,2253,810,1825,0.444,216,574,0.376,479,668,0.717,389,1173,486,192,148,402,610
244,Prairie View,33,15,18,0.455,-8.2,12,6,2211,2280,822,1923,0.427,177,532,0.333,390,604,0.646,388,1072,354,287,105,471,716
