Rk,School,Total Games,Total Wins,Total Losses,Total W-L%,SOS,Conference W,Conference L,Team Points,Opp. Points,FGM,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,Turnovers,PF
195,Navy,33,19,14,0.576,-7.05,9,9,2230,2135,805,1768,0.455,141,469,0.301,479,748,0.64,370,1187,448,188,125,430,648
196,Omaha,32,18,14,0.563,-2.04,10,6,2729,2619,953,2023,0.471,202,599,0.337,621,833,0.745,340,1129,460,297,94,413,657
197,Nebraska,34,16,18,0.471,5.57,6,12,2456,2345,883,1976,0.447,220,634,0.347,470,644,0.73,377,1197,397,250,112,401,656
198,Nevada-Las Vegas,33,18,15,0.545,3.17,8,10,2581,2427,887,2015,0.44,252,760,0.332,555,815,0.681,371,1270,499,266,168,466,700
199,Nevada,38,24,14,0.632,1.79,10,8,2878,2740,973,2293,0.424,202,658,0.307,730,992,0.736,459,1535,478,254,216,495,788
200,New Hampshire,33,20,13,0.606,-7.05,11,5,2342,2297,809,1944,0.416,222,666,0.333,502,693,0.724,376,1296,389,126,59,385,585
201,New Mexico State,34,23,11,0.676,-3.54,13,1,2424,2145,887,1919,0.462,179,537,0.333,471,696,0.677,415,1395,475,141,160,462,535
202,New Mexico,32,17,15,0.531,2.58,10,8,2432,2348,829,1782,0.465,196,540,0.363,578,783,0.738,310,1173,462,180,130,489,657
203,New Orleans,30,10,20,0.333,-8.17,6,12,2249,2325,763,1820,0.419,162,480,0.338,561,816,0.688,422,1138,408,252,77,452,640
204,Niagara,32,7,25,0.219,-3.86,5,15,2067,2304,735,1821,0.404,166,589,0.282,431,620,0.695,384,1168,347,165,103,461,626
205,Nicholls State,34,11,23,0.324,-5.23,6,12,2298,2598,787,1875,0.42,212,694,0.305,512,782,0.655,315,1144,433,229,164,534,686
206,NJIT,35,20,15,0.571,-4.56,8,6,2629,2587,911,2045,0.445,306,865,0.354,501,679,0.738,330,1214,562,226,93,452,672
207,Norfolk State,34,17,17,0.5,-6.73,12,4,2494,2494,813,1919,0.424,242,697,0.347,626,808,0.775,376,1182,411,191,174,423,712
208,North Carolina-Asheville NCAA,34,22,12,0.647,-3.25,12,6,2552,2313,898,1973,0.455,195,603,0.323,561,808,0.694,396,1278,422,312,112,444,587
209,North Carolina A&T,32,10,22,0.313,-8.49,7,9,2169,2433,745,1836,0.406,199,633,0.314,480,675,0.711,357,1148,339,162,77,439,718
210,North Carolina Central,32,13,19,0.406,-10.03,7,9,2220,2235,779,1805,0.432,200,575,0.348,462,697,0.663,395,1178,406,186,54,444,635
211,North Carolina-Greensboro,34,15,19,0.441,-3.23,10,8,2469,2494,890,1997,0.446,296,815,0.363,393,579,0.679,322,1167,440,208,86,407,675
212,North Carolina State,33,16,17,0.485,9.04,5,13,2482,2456,866,1999,0.433,207,595,0.348,543,777,0.699,457,1306,383,149,141,366,558
213,North Carolina-Wilmington NCAA,33,25,8,0.758,0.35,14,4,2620,2379,928,2039,0.455,230,677,0.34,534,760,0.703,397,1237,438,246,143,374,793
214,North Carolina NCAA,40,33,7,0.825,10.69,14,4,3311,2801,1235,2560,0.482,224,685,0.327,617,826,0.747,568,1624,708,269,177,431,718
215,North Dakota State,33,20,13,0.606,-2.99,8,8,2271,2129,817,1837,0.445,214,630,0.34,423,619,0.683,302,1149,347,198,117,348,523
216,North Dakota,33,17,16,0.515,-4.91,10,8,2474,2366,876,1926,0.455,203,565,0.359,519,761,0.682,293,1209,439,257,90,435,694
217,North Florida,34,22,12,0.647,-3.92,10,4,2865,2704,1000,2065,0.484,411,1002,0.41,454,624,0.728,293,1168,559,177,172,383,551
218,North Texas,32,12,20,0.375,-3.23,7,11,2386,2505,830,1838,0.452,187,567,0.33,539,838,0.643,362,1158,362,210,98,443,685
219,Northeastern,33,18,15,0.545,1.35,9,9,2376,2339,793,1808,0.439,286,770,0.371,504,704,0.716,295,1111,485,202,109,409,546
220,Northern Arizona,30,5,25,0.167,-2.83,3,15,2054,2438,699,1749,0.4,220,650,0.338,436,619,0.704,260,1002,372,185,60,389,563
221,Northern Colorado,31,10,21,0.323,-4.01,7,11,2292,2482,780,1726,0.452,203,545,0.372,529,727,0.728,327,1077,320,178,78,427,703
222,Northern Illinois,34,21,13,0.618,-1.2,9,9,2463,2285,842,1970,0.427,238,681,0.349,541,791,0.684,416,1331,472,250,118,430,687
223,Northern Iowa NCAA,36,23,13,0.639,4.44,11,7,2475,2303,849,1864,0.455,298,796,0.374,479,633,0.757,195,1091,429,204,94,357,560
224,Northern Kentucky,30,9,21,0.3,-0.69,5,13,2116,2233,755,1719,0.439,234,656,0.357,372,545,0.683,281,1033,439,142,88,406,615
225,Northwestern State,28,8,20,0.286,-5.66,5,13,2224,2413,770,1688,0.456,207,578,0.358,477,623,0.766,286,919,433,174,90,407,560
226,Northwestern,32,20,12,0.625,4.12,8,10,2304,2111,837,1859,0.45,278,776,0.358,352,528,0.667,342,1167,527,124,121,331,605
227,Notre Dame NCAA,36,24,12,0.667,9.57,11,7,2704,2541,972,2042,0.476,262,700,0.374,498,671,0.742,381,1265,480,197,143,359,544
228,Oakland,35,23,12,0.657,-1.61,13,5,3023,2746,1002,2186,0.458,316,794,0.398,703,913,0.77,399,1373,545,215,116,399,667
229,Ohio State,35,21,14,0.6,7.08,11,7,2462,2381,876,1995,0.439,219,655,0.334,491,718,0.684,379,1333,397,191,183,451,620
230,Ohio,35,23,12,0.657,-1.18,11,7,2746,2617,937,1993,0.47,296,767,0.386,576,759,0.759,288,1251,487,157,128,414,632
231,Oklahoma State,32,12,20,0.375,8.81,3,15,2128,2148,723,1709,0.423,205,625,0.328,477,654,0.729,310,1111,389,179,132,402,636
232,Oklahoma NCAA,37,29,8,0.784,11.14,12,6,2948,2629,1018,2225,0.458,382,906,0.422,530,734,0.722,407,1418,537,247,188,484,630
233,Old Dominion,38,25,13,0.658,-2.31,12,6,2604,2339,987,2227,0.443,159,528,0.301,471,691,0.682,501,1474,505,221,150,346,687
234,Oral Roberts,31,14,17,0.452,0.59,6,10,2356,2384,832,1821,0.457,194,514,0.377,498,665,0.749,299,1101,384,162,133,373,563
235,Oregon State NCAA,32,19,13,0.594,9.26,9,9,2301,2244,811,1843,0.44,218,587,0.371,461,687,0.671,337,1102,432,236,106,361,642
236,Oregon NCAA,38,31,7,0.816,8.64,14,4,2990,2614,1041,2230,0.467,260,758,0.343,648,906,0.715,442,1382,517,275,221,431,675
